device,matrix_type,cache_category,count,mean_gflops_change_pct,median_gflops_change_pct,min_gflops_change_pct,max_gflops_change_pct,mean_perf_ratio,pct_speedup
ARM-GRACE-72,real,Both Out of LLC,23,-19.869438757397653,-14.894887562589917,-52.03105445895293,1.5396478970849805,0.8013056124260235,8.695652173913043
ARM-GRACE-72,real,Both in LLC,20,-14.171133547580746,-10.378939450084452,-35.085396328936156,-2.315564849457611,0.8582886645241926,0.0
ARM-GRACE-72,real,LLC Spill (In -> Out),5,-31.61405931665154,-29.263782323361596,-70.9994705320511,-9.50459178018398,0.6838594068334846,0.0
ARM-GRACE-72,synthetic,Both Out of LLC,23,-15.03165172385769,-13.906683844984327,-72.372656027809,35.75729723298602,0.8496834827614231,21.73913043478261
ARM-GRACE-72,synthetic,Both in LLC,20,-3.0315487380817854,-9.507681093556107,-25.60258148645745,92.65373062092735,0.9696845126191821,15.0
ARM-GRACE-72,synthetic,LLC Spill (In -> Out),5,-19.600907560307395,-40.088944589074714,-60.64049966103654,59.030626478430726,0.8039909243969261,20.0
NVIDIA-H100,real,Large (> 128MB),21,-2.8015709179962993,-1.5776797482105285,-12.953539048241092,2.5328484151380413,0.9719842908200371,4.761904761904762
NVIDIA-H100,real,Small (<= 128MB),27,-1.3396595495377768,-3.790856177939835,-25.116704766967974,127.27529792879828,0.9866034045046221,3.7037037037037033
NVIDIA-H100,synthetic,Large (> 128MB),21,0.03906501182566126,-1.8543367412831642,-15.782888635451817,27.351992560826194,1.0003906501182567,33.33333333333333
NVIDIA-H100,synthetic,Small (<= 128MB),27,-2.6232165991334333,-1.7912897826888758,-20.811894815788445,17.178855233459917,0.9737678340086657,29.629629629629626
