matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category
scircuit,170998,170998,958936,959020,116.67943733333334,83.95818384101825,0.7195628103790386,14.239038696289063,24.67,-28.043718962096143,0.008759708677117138,73.25607806957801,ARM-GRACE-72,Both in LLC
mac_econ_fwd500,206500,206500,1273389,1457389,133.163531,113.31697146961586,0.8509609997471144,18.514287109375,33.22,-14.90390002528856,14.449630081616851,79.42899882533705,ARM-GRACE-72,Both in LLC
raefsky3,21200,21200,1488768,1488768,157.93104033333336,147.91472266666668,0.9365779035867428,17.44,18.74,-6.34220964132572,0.0,7.454128440366955,ARM-GRACE-72,Both in LLC
rgg_n_2_17_s0,131072,131072,1457506,1588578,145.47222433333334,113.97956637232501,0.7835142886875337,19.18,28.679999999999996,-21.648571131246626,8.992896084132758,49.53076120959331,ARM-GRACE-72,Both in LLC
bbmat,38744,38744,1771722,1771722,171.68437000000003,158.343571,0.9222946212284786,21.01,23.38,-7.770537877152142,0.0,11.280342693955246,ARM-GRACE-72,Both in LLC
appu,14000,14000,1853104,1853104,159.67833133333332,140.43311400000002,0.8794750848619634,21.47,22.33,-12.052491513803668,0.0,4.0055891942244966,ARM-GRACE-72,Both in LLC
mc2depi,525825,525825,2100225,2100225,161.510441,157.770562,0.9768443515054239,34.06,66.16,-2.315564849457611,0.0,94.24544920728124,ARM-GRACE-72,Both in LLC
rma10,46835,46835,2374001,2374001,196.55395233333334,189.62669566666668,0.9647564621090966,28.06,30.92,-3.5243537890903456,0.0,10.192444761225955,ARM-GRACE-72,Both in LLC
cop20k_A,121192,121192,2624331,2645680,174.77752933333332,117.18018485714146,0.6704533775257631,32.34568008422852,39.99,-32.95466224742369,0.8135025650346697,23.633202009868356,ARM-GRACE-72,Both in LLC
thermomech_dK,204316,204316,2846228,2846228,176.25228766666666,114.41347400000001,0.6491460367106384,36.47,48.94,-35.085396328936156,0.0,34.19248697559638,ARM-GRACE-72,Both in LLC
webbase-1M,1000005,1000005,3105536,3105536,134.98147600000001,90.940209,0.6737236226398946,54.60999999999999,115.65000000000002,-32.62763773601055,0.0,111.77440029298671,ARM-GRACE-72,LLC Spill (In -> Out)
cant,62451,62451,4007383,4007383,263.675054,244.30801233333332,0.9265495868006283,47.04999999999999,50.85999999999999,-7.345041319937177,0.0,8.097768331562175,ARM-GRACE-72,Both in LLC
ASIC_680k,682862,682862,3871773,3871848,150.591445,110.429439874594,0.7333048691749654,57.32914169311524,99.01,-26.66951308250346,0.0019370970353892133,72.70448689080983,ARM-GRACE-72,Both in LLC
roadNet-TX,1393383,1393383,3843320,5236703,172.44127733333335,50.008883447960805,0.2900052946794889,70.56399703979493,171.55000000000004,-70.9994705320511,36.25467044118106,143.11264553686428,ARM-GRACE-72,LLC Spill (In -> Out)
pdb1HYS,36417,36417,4344765,4344765,249.11126733333333,239.02032633333332,0.9594922336993396,50.419999999999995,52.64000000000001,-4.050776630066045,0.0,4.403014676715616,ARM-GRACE-72,Both in LLC
TSOPF_RS_b300_c3,42138,42138,4413449,4413731,257.5505703333333,248.50480596807225,0.9648777156519062,51.30677276611328,53.89000000000001,-3.5122284348093857,0.006389560636137406,5.034865953589805,ARM-GRACE-72,Both in LLC
Chebyshev4,68121,68121,5377761,5377761,245.76624333333334,222.08189166666668,0.903630574543374,62.84,67.0,-9.636942545662594,0.0,6.619987269255246,ARM-GRACE-72,Both in LLC
consph,83334,83334,6010480,6010480,265.25123633333334,241.01196000000002,0.9086176687867628,70.37,75.46,-9.138233121323719,0.0,7.233195964189269,ARM-GRACE-72,Both in LLC
com-Youtube,1134890,1134890,5975248,7110138,41.36956,37.43755220074172,0.9049540821981602,90.03221466064453,172.28,-9.50459178018398,18.993186558951194,91.35372893954609,ARM-GRACE-72,LLC Spill (In -> Out)
rajat30,643994,643994,6175377,6185006,175.80651933333334,124.35888220534805,0.707362176766384,82.9498048400879,122.37,-29.263782323361596,0.15592570299756597,47.522951061677674,ARM-GRACE-72,LLC Spill (In -> Out)
radiation,223104,223104,7637688,7637688,205.56864233333332,158.5668433333333,0.7713571560988094,91.66000000000001,105.28000000000002,-22.864284390119057,0.0,14.85926249181759,ARM-GRACE-72,Both in LLC
