device,cache_category,count,mean_gflops_change_pct,median_gflops_change_pct,min_gflops_change_pct,max_gflops_change_pct,mean_perf_ratio,pct_speedup
ARM-GRACE-72,Both Out of LLC,9713,-3.687544868955279,-2.351779294135498,-76.23685857781906,51.628013584746135,0.9631245513104473,46.031092350458145
ARM-GRACE-72,Both in LLC,6477,-15.719245647014459,-12.982662312215462,-61.16317782844264,31.6673963320023,0.8428075435298554,5.357418557974371
NVIDIA-H100,Large (> 128MB),9668,-4.586852991457373,-3.188895861998895,-23.72682963408544,15.186229005433669,0.9541314700854262,16.735622672734795
NVIDIA-H100,Small (<= 128MB),6522,-7.1605648962796025,-5.653985753516679,-28.990064617186277,2.946027843286543,0.928394351037204,1.0426249616682
