matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category,matrix_type
scircuit,170998,170998,958936,959020,116.67943733333334,83.95818384101825,0.7195628103790386,14.239038696289063,24.67,-28.043718962096143,0.008759708677117138,73.25607806957801,ARM-GRACE-72,Both in LLC,real
mac_econ_fwd500,206500,206500,1273389,1457389,133.163531,113.31697146961586,0.8509609997471144,18.514287109375,33.22,-14.90390002528856,14.449630081616851,79.42899882533705,ARM-GRACE-72,Both in LLC,real
raefsky3,21200,21200,1488768,1488768,157.93104033333336,147.91472266666668,0.9365779035867428,17.44,18.74,-6.34220964132572,0.0,7.454128440366955,ARM-GRACE-72,Both in LLC,real
rgg_n_2_17_s0,131072,131072,1457506,1588578,145.47222433333334,113.97956637232501,0.7835142886875337,19.18,28.679999999999996,-21.648571131246626,8.992896084132758,49.53076120959331,ARM-GRACE-72,Both in LLC,real
bbmat,38744,38744,1771722,1771722,171.68437000000003,158.343571,0.9222946212284786,21.01,23.38,-7.770537877152142,0.0,11.280342693955246,ARM-GRACE-72,Both in LLC,real
appu,14000,14000,1853104,1853104,159.67833133333332,140.43311400000002,0.8794750848619634,21.47,22.33,-12.052491513803668,0.0,4.0055891942244966,ARM-GRACE-72,Both in LLC,real
mc2depi,525825,525825,2100225,2100225,161.510441,157.770562,0.9768443515054239,34.06,66.16,-2.315564849457611,0.0,94.24544920728124,ARM-GRACE-72,Both in LLC,real
rma10,46835,46835,2374001,2374001,196.55395233333334,189.62669566666668,0.9647564621090966,28.06,30.92,-3.5243537890903456,0.0,10.192444761225955,ARM-GRACE-72,Both in LLC,real
cop20k_A,121192,121192,2624331,2645680,174.77752933333332,117.18018485714146,0.6704533775257631,32.34568008422852,39.99,-32.95466224742369,0.8135025650346697,23.633202009868356,ARM-GRACE-72,Both in LLC,real
thermomech_dK,204316,204316,2846228,2846228,176.25228766666666,114.41347400000001,0.6491460367106384,36.47,48.94,-35.085396328936156,0.0,34.19248697559638,ARM-GRACE-72,Both in LLC,real
webbase-1M,1000005,1000005,3105536,3105536,134.98147600000001,90.940209,0.6737236226398946,54.60999999999999,115.65000000000002,-32.62763773601055,0.0,111.77440029298671,ARM-GRACE-72,LLC Spill (In -> Out),real
