matrix_name,real_gflops,friend_gflops
scircuit,122.81,99.815729
mac_econ_fwd500,132.42,127.669141
raefsky3,158.78,154.687812
rgg_n_2_17_s0,145.05,157.842613
bbmat,173.02,171.981874
appu,159.31,163.204778
mc2depi,154.07,176.688508
rma10,193.95,195.498104
cop20k_A,177.51,159.461819
thermomech_dK,174.57,139.392829
webbase-1M,133.67,151.944961
cant,256.10,279.090371
ASIC_680k,150.02,81.542019
roadNet-TX,171.95,127.708816
pdb1HYS,244.86,272.690832
TSOPF_RS_b300_c3,242.39,242.831337
Chebyshev4,243.38,238.273977
consph,261.96,259.380399
com-Youtube,41.50,65.968435
rajat30,175.36,77.835890
radiation,200.07,64.280518
Stanford_Berkeley,132.10,128.472213
shipsec1,279.37,265.845588
PR02R,265.61,258.402743
CurlCurl_2,242.02,229.089770
gupta3,261.89,266.369479
mip1,233.93,237.866910
rail4284,74.43,87.535314
pwtk,249.62,253.538084
crankseg_2,204.27,158.599657
Si41Ge41H72,184.72,152.626170
TSOPF_RS_b2383,183.20,150.039141
in-2004,112.70,110.434772
Ga41As41H72,123.48,107.635826
eu-2005,101.49,83.182995
wikipedia-20051105,46.49,36.303970
kron_g500-logn18,63.41,72.881010
rajat31,72.15,150.871222
human_gene1,85.84,77.753481
delaunay_n22,39.99,52.198246
GL7d20,35.26,35.180725
sx-stackoverflow,30.61,36.950454
dgreen,59.07,39.113228
ldoor,66.78,62.171027
dielFilterV2real,68.32,52.932165
circuit5M,53.95,44.065529
soc-LiveJournal1,29.67,43.725689
bone010,80.98,73.511482
audikw_1,59.40,49.918654
cage15,53.90,56.983550
