matrix_name,real_gflops,friend_gflops
scircuit,104.413763,98.179406
mac_econ_fwd500,133.311244,125.256496
raefsky3,160.704663,159.190711
rgg_n_2_17_s0,143.004906,143.651715
bbmat,170.620378,168.248934
appu,160.414127,152.856258
mc2depi,166.790422,163.502799
rma10,195.745465,189.984054
cop20k_A,175.611014,149.159918
thermomech_dK,177.534182,135.671434
webbase-1M,135.352859,150.776154
cant,260.897331,285.455031
ASIC_680k,152.288114,83.108093
roadNet-TX,172.686916,126.341902
pdb1HYS,254.258251,270.243956
TSOPF_RS_b300_c3,267.806371,243.738270
Chebyshev4,246.415002,238.273977
consph,267.560541,258.131663
com-Youtube,41.274646,66.698931
rajat30,178.437847,78.307814
radiation,207.636146,93.231860
Stanford_Berkeley,133.472543,127.509617
shipsec1,282.113085,267.594572
PR02R,264.241219,260.377292
CurlCurl_2,244.673898,227.222698
gupta3,266.322755,260.526998
mip1,249.923209,236.479425
rail4284,73.234891,88.566432
pwtk,249.537234,247.495297
crankseg_2,203.288190,158.230755
Si41Ge41H72,184.359218,147.767915
TSOPF_RS_b2383,183.429775,149.973354
in-2004,108.889373,109.316156
Ga41As41H72,123.572853,108.945363
eu-2005,104.158400,79.777746
wikipedia-20051105,47.527232,34.669914
kron_g500-logn18,50.324086,72.712906
rajat31,71.839650,148.615990
human_gene1,107.140066,126.284778
delaunay_n22,43.153496,52.259333
GL7d20,34.714836,35.306656
sx-stackoverflow,30.523792,36.213370
dgreen,60.172177,39.864378
ldoor,66.131156,62.070132
dielFilterV2real,68.488193,52.427222
circuit5M,53.530579,43.993886
soc-LiveJournal1,29.724141,43.742556
bone010,81.233706,73.546496
audikw_1,59.513181,49.487005
cage15,53.420403,56.496511
