matrix_name,real_gflops,friend_gflops
scircuit,134.079418,133.681780
mac_econ_fwd500,163.087731,163.995619
raefsky3,196.303797,192.479037
rgg_n_2_17_s0,169.951726,179.635478
bbmat,219.707589,210.311168
appu,186.504026,189.072202
mc2depi,195.624534,212.368740
rma10,260.764609,255.937068
cop20k_A,102.384949,237.231187
thermomech_dK,243.683904,234.341568
webbase-1M,228.079906,223.499430
cant,293.624194,296.265163
ASIC_680k,259.641430,203.109039
roadNet-TX,227.900854,214.061151
pdb1HYS,311.765571,307.667069
TSOPF_RS_b300_c3,326.438536,308.927441
Chebyshev4,354.920869,319.350189
consph,346.865189,343.074440
com-Youtube,252.162728,262.436622
rajat30,313.026004,252.915837
radiation,259.432337,233.307490
Stanford_Berkeley,384.708604,334.388377
shipsec1,385.732820,380.134346
PR02R,389.027376,390.168416
CurlCurl_2,364.214117,349.814617
gupta3,434.537053,450.129399
mip1,444.098276,440.069920
rail4284,460.949020,420.190324
pwtk,436.990084,433.190517
crankseg_2,464.445181,473.675248
Si41Ge41H72,460.581278,451.920572
TSOPF_RS_b2383,517.510529,504.979177
in-2004,449.921622,456.466902
Ga41As41H72,492.763220,480.910777
eu-2005,471.264700,472.459799
wikipedia-20051105,269.556195,256.968639
kron_g500-logn18,290.612753,264.752912
rajat31,300.821088,310.692432
human_gene1,495.294792,410.864016
delaunay_n22,323.500334,329.382482
GL7d20,252.338972,252.201150
sx-stackoverflow,250.397017,269.235539
dgreen,295.726232,280.472034
ldoor,543.690106,542.517054
dielFilterV2real,526.864276,477.072053
circuit5M,349.517868,273.861457
soc-LiveJournal1,320.103245,334.277146
bone010,565.762955,567.691676
audikw_1,564.067926,562.090753
cage15,441.404808,440.078510
