matrix_name,real_gflops,friend_gflops
scircuit,135.290068,128.794489
mac_econ_fwd500,163.087731,168.870223
raefsky3,197.554140,190.506916
rgg_n_2_17_s0,170.269393,177.534479
bbmat,219.707589,216.607909
appu,185.607372,188.149898
mc2depi,197.686841,212.712379
rma10,264.012567,251.591787
cop20k_A,103.157665,235.189024
thermomech_dK,250.195851,234.033224
webbase-1M,230.791914,223.754566
cant,295.704177,300.533088
ASIC_680k,256.340903,203.757432
roadNet-TX,230.968750,214.061151
pdb1HYS,309.986087,312.996175
TSOPF_RS_b300_c3,320.372314,324.681203
Chebyshev4,357.944688,317.848071
consph,346.545203,349.463163
com-Youtube,250.135968,260.423509
rajat30,309.511678,251.929169
radiation,257.612250,233.764508
Stanford_Berkeley,386.276284,338.666267
shipsec1,380.029377,384.022423
PR02R,389.916921,384.590388
CurlCurl_2,365.168181,353.361534
gupta3,433.244749,448.741182
mip1,440.170876,440.667841
rail4284,458.253411,423.209656
pwtk,432.828274,433.966381
crankseg_2,467.144017,473.929093
Si41Ge41H72,462.169489,451.920572
TSOPF_RS_b2383,514.874204,504.482639
in-2004,444.250341,456.466902
Ga41As41H72,490.670807,480.111258
eu-2005,473.678586,475.448868
wikipedia-20051105,260.402315,256.861725
kron_g500-logn18,290.166539,265.709274
rajat31,302.037539,310.857081
human_gene1,499.628220,412.406133
delaunay_n22,324.367627,327.313063
GL7d20,251.964633,249.970755
sx-stackoverflow,250.010005,269.331558
dgreen,280.168988,280.933337
ldoor,543.080816,544.958076
dielFilterV2real,526.224545,477.222147
circuit5M,349.583555,273.343986
soc-LiveJournal1,319.818350,334.484723
bone010,565.620067,571.094495
audikw_1,562.303376,561.375542
cage15,442.191851,440.892137
